nome,data,hora,potencia
Pow-ACSuporte,06/10/2021,00:00:00,0
Pow-ACSuporte,06/10/2021,01:00:00,0
Pow-ACSuporte,06/10/2021,02:00:00,0
Pow-ACSuporte,06/10/2021,03:00:00,0
Pow-ACSuporte,06/10/2021,04:00:00,0
Pow-ACSuporte,06/10/2021,05:00:00,0
Pow-ACSuporte,06/10/2021,06:00:00,0
Pow-ACSuporte,06/10/2021,07:00:00,1631
Pow-ACSuporte,06/10/2021,08:00:00,1911
Pow-ACSuporte,06/10/2021,09:00:00,1985
Pow-ACSuporte,06/10/2021,10:00:00,2032
Pow-ACSuporte,06/10/2021,11:00:00,1947
Pow-ACSuporte,06/10/2021,12:00:00,1913
Pow-ACSuporte,06/10/2021,13:00:00,1846
Pow-ACSuporte,06/10/2021,14:00:00,1943
Pow-ACSuporte,06/10/2021,15:00:00,2037
Pow-ACSuporte,06/10/2021,16:00:00,1994
Pow-ACSuporte,06/10/2021,17:00:00,766
Pow-ACSuporte,06/10/2021,18:00:00,0
Pow-ACSuporte,06/10/2021,19:00:00,0
Pow-ACSuporte,06/10/2021,20:00:00,0
Pow-ACSuporte,06/10/2021,21:00:00,0
Pow-ACSuporte,06/10/2021,22:00:00,0
Pow-ACSuporte,06/10/2021,23:00:00,0
Pow-ACSuporte,07/10/2021,00:00:00,0
Pow-ACSuporte,07/10/2021,01:00:00,0
Pow-ACSuporte,07/10/2021,02:00:00,0
Pow-ACSuporte,07/10/2021,03:00:00,0
Pow-ACSuporte,07/10/2021,04:00:00,0
Pow-ACSuporte,07/10/2021,05:00:00,0
Pow-ACSuporte,07/10/2021,06:00:00,0
Pow-ACSuporte,07/10/2021,07:00:00,1371
Pow-ACSuporte,07/10/2021,08:00:00,1989
Pow-ACSuporte,07/10/2021,09:00:00,2029
Pow-ACSuporte,07/10/2021,10:00:00,2051
Pow-ACSuporte,07/10/2021,11:00:00,2077
Pow-ACSuporte,07/10/2021,12:00:00,2120
Pow-ACSuporte,07/10/2021,13:00:00,2078
Pow-ACSuporte,07/10/2021,14:00:00,2066
Pow-ACSuporte,07/10/2021,15:00:00,2058
Pow-ACSuporte,07/10/2021,16:00:00,2023
Pow-ACSuporte,07/10/2021,17:00:00,1489
Pow-ACSuporte,07/10/2021,18:00:00,0
Pow-ACSuporte,07/10/2021,19:00:00,0
Pow-ACSuporte,07/10/2021,20:00:00,0
Pow-ACSuporte,07/10/2021,21:00:00,0
Pow-ACSuporte,07/10/2021,22:00:00,0
Pow-ACSuporte,07/10/2021,23:00:00,0
Pow-ACSuporte,08/10/2021,00:00:00,0
Pow-ACSuporte,08/10/2021,01:00:00,0
Pow-ACSuporte,08/10/2021,02:00:00,0
Pow-ACSuporte,08/10/2021,03:00:00,0
Pow-ACSuporte,08/10/2021,04:00:00,0
Pow-ACSuporte,08/10/2021,05:00:00,0
Pow-ACSuporte,08/10/2021,06:00:00,0
Pow-ACSuporte,08/10/2021,07:00:00,1485
Pow-ACSuporte,08/10/2021,08:00:00,1926
Pow-ACSuporte,08/10/2021,09:00:00,1954
Pow-ACSuporte,08/10/2021,10:00:00,1971
Pow-ACSuporte,08/10/2021,11:00:00,1966
Pow-ACSuporte,08/10/2021,12:00:00,2017
Pow-ACSuporte,08/10/2021,13:00:00,1995
Pow-ACSuporte,08/10/2021,14:00:00,2028
Pow-ACSuporte,08/10/2021,15:00:00,2211
Pow-ACSuporte,08/10/2021,16:00:00,2153
Pow-ACSuporte,08/10/2021,17:00:00,0
Pow-ACSuporte,08/10/2021,18:00:00,0
Pow-ACSuporte,08/10/2021,19:00:00,0
Pow-ACSuporte,08/10/2021,20:00:00,0
Pow-ACSuporte,08/10/2021,21:00:00,0
Pow-ACSuporte,08/10/2021,22:00:00,0
Pow-ACSuporte,08/10/2021,23:00:00,0
Pow-ACSuporte,09/10/2021,00:00:00,0
Pow-ACSuporte,09/10/2021,01:00:00,0
Pow-ACSuporte,09/10/2021,02:00:00,0
Pow-ACSuporte,09/10/2021,03:00:00,0
Pow-ACSuporte,09/10/2021,04:00:00,0
Pow-ACSuporte,09/10/2021,05:00:00,0
Pow-ACSuporte,09/10/2021,06:00:00,0
Pow-ACSuporte,09/10/2021,07:00:00,0
Pow-ACSuporte,09/10/2021,08:00:00,0
Pow-ACSuporte,09/10/2021,09:00:00,0
Pow-ACSuporte,09/10/2021,10:00:00,0
Pow-ACSuporte,09/10/2021,11:00:00,0
Pow-ACSuporte,09/10/2021,12:00:00,0
Pow-ACSuporte,09/10/2021,13:00:00,0
Pow-ACSuporte,09/10/2021,14:00:00,0
Pow-ACSuporte,09/10/2021,15:00:00,0
Pow-ACSuporte,09/10/2021,16:00:00,0
Pow-ACSuporte,09/10/2021,17:00:00,0
Pow-ACSuporte,09/10/2021,18:00:00,0
Pow-ACSuporte,09/10/2021,19:00:00,0
Pow-ACSuporte,09/10/2021,20:00:00,0
Pow-ACSuporte,09/10/2021,21:00:00,0
Pow-ACSuporte,09/10/2021,22:00:00,0
Pow-ACSuporte,09/10/2021,23:00:00,0
Pow-ACSuporte,10/10/2021,00:00:00,0
Pow-ACSuporte,10/10/2021,01:00:00,0
Pow-ACSuporte,10/10/2021,02:00:00,0
Pow-ACSuporte,10/10/2021,03:00:00,0
Pow-ACSuporte,10/10/2021,04:00:00,0
Pow-ACSuporte,10/10/2021,05:00:00,0
Pow-ACSuporte,10/10/2021,06:00:00,0
Pow-ACSuporte,10/10/2021,07:00:00,0
Pow-ACSuporte,10/10/2021,08:00:00,0
Pow-ACSuporte,10/10/2021,09:00:00,0
Pow-ACSuporte,10/10/2021,10:00:00,0
Pow-ACSuporte,10/10/2021,11:00:00,0
Pow-ACSuporte,10/10/2021,12:00:00,0
Pow-ACSuporte,10/10/2021,13:00:00,0
Pow-ACSuporte,10/10/2021,14:00:00,0
Pow-ACSuporte,10/10/2021,15:00:00,0
Pow-ACSuporte,10/10/2021,16:00:00,0
Pow-ACSuporte,10/10/2021,17:00:00,0
Pow-ACSuporte,10/10/2021,18:00:00,0
Pow-ACSuporte,10/10/2021,19:00:00,0
Pow-ACSuporte,10/10/2021,20:00:00,0
Pow-ACSuporte,10/10/2021,21:00:00,0
Pow-ACSuporte,10/10/2021,22:00:00,0
Pow-ACSuporte,10/10/2021,23:00:00,0
Pow-ACSuporte,11/10/2021,00:00:00,0
Pow-ACSuporte,11/10/2021,01:00:00,0
Pow-ACSuporte,11/10/2021,02:00:00,0
Pow-ACSuporte,11/10/2021,03:00:00,0
Pow-ACSuporte,11/10/2021,04:00:00,0
Pow-ACSuporte,11/10/2021,05:00:00,0
Pow-ACSuporte,11/10/2021,06:00:00,0
Pow-ACSuporte,11/10/2021,07:00:00,1448
Pow-ACSuporte,11/10/2021,08:00:00,2017
Pow-ACSuporte,11/10/2021,09:00:00,1993
Pow-ACSuporte,11/10/2021,10:00:00,1998
Pow-ACSuporte,11/10/2021,11:00:00,2066
Pow-ACSuporte,11/10/2021,12:00:00,714
Pow-ACSuporte,11/10/2021,13:00:00,0
Pow-ACSuporte,11/10/2021,14:00:00,0
Pow-ACSuporte,11/10/2021,15:00:00,0
Pow-ACSuporte,11/10/2021,16:00:00,0
Pow-ACSuporte,11/10/2021,17:00:00,0
Pow-ACSuporte,11/10/2021,18:00:00,0
Pow-ACSuporte,11/10/2021,19:00:00,0
Pow-ACSuporte,11/10/2021,20:00:00,0
Pow-ACSuporte,11/10/2021,21:00:00,0
Pow-ACSuporte,11/10/2021,22:00:00,0
Pow-ACSuporte,11/10/2021,23:00:00,0
Pow-ACSuporte,12/10/2021,00:00:00,0
Pow-ACSuporte,12/10/2021,01:00:00,0
Pow-ACSuporte,12/10/2021,02:00:00,0
Pow-ACSuporte,12/10/2021,03:00:00,0
Pow-ACSuporte,12/10/2021,04:00:00,0
Pow-ACSuporte,12/10/2021,05:00:00,0
Pow-ACSuporte,12/10/2021,06:00:00,0
Pow-ACSuporte,12/10/2021,07:00:00,0
Pow-ACSuporte,12/10/2021,08:00:00,0
Pow-ACSuporte,12/10/2021,09:00:00,0
Pow-ACSuporte,12/10/2021,10:00:00,0
Pow-ACSuporte,12/10/2021,11:00:00,0
Pow-ACSuporte,12/10/2021,12:00:00,0
Pow-ACSuporte,12/10/2021,13:00:00,0
Pow-ACSuporte,12/10/2021,14:00:00,0
Pow-ACSuporte,12/10/2021,15:00:00,0
Pow-ACSuporte,12/10/2021,16:00:00,0
Pow-ACSuporte,12/10/2021,17:00:00,0
Pow-ACSuporte,12/10/2021,18:00:00,0
Pow-ACSuporte,12/10/2021,19:00:00,0
Pow-ACSuporte,12/10/2021,20:00:00,0
Pow-ACSuporte,12/10/2021,21:00:00,0
Pow-ACSuporte,12/10/2021,22:00:00,0
Pow-ACSuporte,12/10/2021,23:00:00,0
Pow-ACSuporte,13/10/2021,00:00:00,0
Pow-ACSuporte,13/10/2021,01:00:00,0
Pow-ACSuporte,13/10/2021,02:00:00,0
Pow-ACSuporte,13/10/2021,03:00:00,0
Pow-ACSuporte,13/10/2021,04:00:00,0
Pow-ACSuporte,13/10/2021,05:00:00,0
Pow-ACSuporte,13/10/2021,06:00:00,0
Pow-ACSuporte,13/10/2021,07:00:00,1575
Pow-ACSuporte,13/10/2021,08:00:00,1970
Pow-ACSuporte,13/10/2021,09:00:00,1970
Pow-ACSuporte,13/10/2021,10:00:00,1973
Pow-ACSuporte,13/10/2021,11:00:00,1845
Pow-ACSuporte,13/10/2021,12:00:00,2036
Pow-ACSuporte,13/10/2021,13:00:00,2003
Pow-ACSuporte,13/10/2021,14:00:00,1754
Pow-ACSuporte,13/10/2021,15:00:00,1710
Pow-ACSuporte,13/10/2021,16:00:00,1536
Pow-ACSuporte,13/10/2021,17:00:00,1299
Pow-ACSuporte,13/10/2021,18:00:00,0
Pow-ACSuporte,13/10/2021,19:00:00,0
Pow-ACSuporte,13/10/2021,20:00:00,0
Pow-ACSuporte,13/10/2021,21:00:00,0
Pow-ACSuporte,13/10/2021,22:00:00,0
Pow-ACSuporte,13/10/2021,23:00:00,0
Pow-ACSuporte,14/10/2021,00:00:00,0
Pow-ACSuporte,14/10/2021,01:00:00,0
Pow-ACSuporte,14/10/2021,02:00:00,0
Pow-ACSuporte,14/10/2021,03:00:00,0
Pow-ACSuporte,14/10/2021,04:00:00,0
Pow-ACSuporte,14/10/2021,05:00:00,0
Pow-ACSuporte,14/10/2021,06:00:00,0
Pow-ACSuporte,14/10/2021,07:00:00,1007
Pow-ACSuporte,14/10/2021,08:00:00,1948
Pow-ACSuporte,14/10/2021,09:00:00,1989
Pow-ACSuporte,14/10/2021,10:00:00,1970
Pow-ACSuporte,14/10/2021,11:00:00,1928
Pow-ACSuporte,14/10/2021,12:00:00,1987
Pow-ACSuporte,14/10/2021,13:00:00,1958
Pow-ACSuporte,14/10/2021,14:00:00,1860
Pow-ACSuporte,14/10/2021,15:00:00,1696
Pow-ACSuporte,14/10/2021,16:00:00,1601
Pow-ACSuporte,14/10/2021,17:00:00,1418
Pow-ACSuporte,14/10/2021,18:00:00,1408
Pow-ACSuporte,14/10/2021,19:00:00,1415
Pow-ACSuporte,14/10/2021,20:00:00,1381
Pow-ACSuporte,14/10/2021,21:00:00,1356
Pow-ACSuporte,14/10/2021,22:00:00,1356
Pow-ACSuporte,14/10/2021,23:00:00,1383
Pow-ACSuporte,15/10/2021,00:00:00,1339
Pow-ACSuporte,15/10/2021,01:00:00,1349
Pow-ACSuporte,15/10/2021,02:00:00,1319
Pow-ACSuporte,15/10/2021,03:00:00,1305
Pow-ACSuporte,15/10/2021,04:00:00,1340
Pow-ACSuporte,15/10/2021,05:00:00,1381
Pow-ACSuporte,15/10/2021,06:00:00,1399
Pow-ACSuporte,15/10/2021,07:00:00,1324
Pow-ACSuporte,15/10/2021,08:00:00,11
Pow-ACSuporte,15/10/2021,09:00:00,1532
Pow-ACSuporte,15/10/2021,10:00:00,1928
Pow-ACSuporte,15/10/2021,11:00:00,1815
Pow-ACSuporte,15/10/2021,12:00:00,1812
Pow-ACSuporte,15/10/2021,13:00:00,1557
Pow-ACSuporte,15/10/2021,14:00:00,1421
Pow-ACSuporte,15/10/2021,15:00:00,1933
Pow-ACSuporte,15/10/2021,16:00:00,1926
Pow-ACSuporte,15/10/2021,17:00:00,1480
Pow-ACSuporte,15/10/2021,18:00:00,0
Pow-ACSuporte,15/10/2021,19:00:00,0
Pow-ACSuporte,15/10/2021,20:00:00,0
Pow-ACSuporte,15/10/2021,21:00:00,0
Pow-ACSuporte,15/10/2021,22:00:00,0
Pow-ACSuporte,15/10/2021,23:00:00,0