data,Hora (UTC),hora_simples,tempExterna
25/10/2021,0,00,22.3
25/10/2021,100,01,22
25/10/2021,200,02,21.9
25/10/2021,300,03,21.8
25/10/2021,400,04,21.6
25/10/2021,500,05,21.4
25/10/2021,600,06,21.3
25/10/2021,700,07,21.6
25/10/2021,800,08,21.5
25/10/2021,900,09,22.3
25/10/2021,1000,10,25
25/10/2021,1100,11,26
25/10/2021,1200,12,28.2
25/10/2021,1300,13,29.5
25/10/2021,1400,14,30.4
25/10/2021,1500,15,32
25/10/2021,1600,16,31.6
25/10/2021,1700,17,31.6
25/10/2021,1800,18,30.7
25/10/2021,1900,19,28.5
25/10/2021,2000,20,26.1
25/10/2021,2100,21,24.5
25/10/2021,2200,22,23.5
25/10/2021,2300,23,22.8
26/10/2021,0,00,22.2
26/10/2021,100,01,22
26/10/2021,200,02,21.8
26/10/2021,300,03,21.6
26/10/2021,400,04,21.4
26/10/2021,500,05,21.3
26/10/2021,600,06,21.6
26/10/2021,700,07,21.4
26/10/2021,800,08,21
26/10/2021,900,09,21.9
26/10/2021,1000,10,24.8
26/10/2021,1100,11,25.7
26/10/2021,1200,12,27.4
26/10/2021,1300,13,28.1
26/10/2021,1400,14,29.3
26/10/2021,1500,15,28.3
26/10/2021,1600,16,28.6
26/10/2021,1700,17,28.5
26/10/2021,1800,18,27.8
26/10/2021,1900,19,26.9
26/10/2021,2000,20,24.6
26/10/2021,2100,21,23
26/10/2021,2200,22,22.7
26/10/2021,2300,23,22.7
27/10/2021,0,00,22.8
27/10/2021,100,01,22.4
27/10/2021,200,02,22.2
27/10/2021,300,03,21.6
27/10/2021,400,04,21.2
27/10/2021,500,05,21
27/10/2021,600,06,20.8
27/10/2021,700,07,20.8
27/10/2021,800,08,21.2
27/10/2021,900,09,22.6
27/10/2021,1000,10,23.8
27/10/2021,1100,11,25.3
27/10/2021,1200,12,26.8
27/10/2021,1300,13,27.8
27/10/2021,1400,14,28.7
27/10/2021,1500,15,29.6
27/10/2021,1600,16,29.7
27/10/2021,1700,17,30.4
27/10/2021,1800,18,28.8
27/10/2021,1900,19,27.7
27/10/2021,2000,20,26.4
27/10/2021,2100,21,24.8
27/10/2021,2200,22,23.7
27/10/2021,2300,23,23.1
28/10/2021,0,00,22.7
28/10/2021,100,01,22.4
28/10/2021,200,02,22.2
28/10/2021,300,03,21.8
28/10/2021,400,04,21.7
28/10/2021,500,05,21.1
28/10/2021,600,06,20.7
28/10/2021,700,07,20.4
28/10/2021,800,08,20.6
28/10/2021,900,09,22.2
28/10/2021,1000,10,22.9
28/10/2021,1100,11,25.4
28/10/2021,1200,12,27.3
28/10/2021,1300,13,27.9
28/10/2021,1400,14,30.1
28/10/2021,1500,15,29.3
28/10/2021,1600,16,31.7
28/10/2021,1700,17,31.2
28/10/2021,1800,18,29.8
28/10/2021,1900,19,28.9
28/10/2021,2000,20,27
28/10/2021,2100,21,25.5
28/10/2021,2200,22,24.1
28/10/2021,2300,23,22.9
29/10/2021,0,00,22.3
29/10/2021,100,01,22.1
29/10/2021,200,02,21.9
29/10/2021,300,03,21.7
29/10/2021,400,04,21.5
29/10/2021,500,05,21.1
29/10/2021,600,06,20.9
29/10/2021,700,07,20.7
29/10/2021,800,08,20.6
29/10/2021,900,09,21.8
29/10/2021,1000,10,24.7
29/10/2021,1100,11,25.9
29/10/2021,1200,12,27.2
29/10/2021,1300,13,29.3
29/10/2021,1400,14,29.4
29/10/2021,1500,15,31.5
29/10/2021,1600,16,31
29/10/2021,1700,17,30.4
29/10/2021,1800,18,28.7
29/10/2021,1900,19,26.2
29/10/2021,2000,20,24.4
29/10/2021,2100,21,23.3
29/10/2021,2200,22,22.8
29/10/2021,2300,23,22.9
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,