data,hora,sala,temperatura,hora_simples
25/10/2021,07:00:01,TH-Suporte,29.4,07
25/10/2021,08:00:00,TH-Suporte,27.6,08
25/10/2021,09:00:00,TH-Suporte,26.4,09
25/10/2021,10:00:00,TH-Suporte,26.2,10
25/10/2021,11:00:00,TH-Suporte,25.7,11
25/10/2021,12:00:00,TH-Suporte,25.7,12
25/10/2021,13:00:02,TH-Suporte,25.7,13
25/10/2021,14:00:00,TH-Suporte,25.3,14
25/10/2021,15:00:00,TH-Suporte,24.4,15
25/10/2021,16:00:00,TH-Suporte,24.4,16
25/10/2021,17:00:00,TH-Suporte,23.8,17
25/10/2021,18:00:00,TH-Suporte,25.8,18
25/10/2021,19:00:00,TH-Suporte,26.4,19
25/10/2021,20:00:00,TH-Suporte,26.7,20
26/10/2021,07:00:00,TH-Suporte,28.1,07
26/10/2021,08:00:00,TH-Suporte,27.0,08
26/10/2021,09:00:00,TH-Suporte,25.9,09
26/10/2021,10:00:00,TH-Suporte,25.9,10
26/10/2021,11:00:00,TH-Suporte,25.9,11
26/10/2021,12:00:00,TH-Suporte,25.4,12
26/10/2021,13:00:02,TH-Suporte,25.3,13
26/10/2021,14:00:00,TH-Suporte,24.6,14
26/10/2021,15:00:00,TH-Suporte,24.5,15
26/10/2021,16:00:00,TH-Suporte,24.2,16
26/10/2021,17:00:00,TH-Suporte,24.3,17
26/10/2021,18:00:00,TH-Suporte,25.5,18
26/10/2021,19:00:00,TH-Suporte,26.4,19
26/10/2021,20:00:00,TH-Suporte,27.0,20
27/10/2021,07:00:01,TH-Suporte,28.2,07
27/10/2021,08:00:00,TH-Suporte,26.4,08
27/10/2021,09:00:00,TH-Suporte,25.6,09
27/10/2021,10:00:00,TH-Suporte,25.1,10
27/10/2021,11:00:01,TH-Suporte,25.1,11
27/10/2021,12:00:00,TH-Suporte,24.7,12
27/10/2021,13:00:01,TH-Suporte,24.7,13
27/10/2021,14:00:00,TH-Suporte,24.7,14
27/10/2021,15:00:03,TH-Suporte,24.6,15
27/10/2021,16:00:00,TH-Suporte,24.4,16
27/10/2021,17:00:00,TH-Suporte,24.5,17
27/10/2021,18:00:00,TH-Suporte,25.7,18
27/10/2021,19:00:00,TH-Suporte,26.3,19
27/10/2021,20:00:01,TH-Suporte,26.9,20
28/10/2021,08:00:00,TH-Suporte,26,08
28/10/2021,09:00:00,TH-Suporte,25.5,09
28/10/2021,10:00:00,TH-Suporte,25.5,10
28/10/2021,11:00:01,TH-Suporte,25.3,11
28/10/2021,12:00:00,TH-Suporte,24.7,12
28/10/2021,13:00:01,TH-Suporte,24.7,13
28/10/2021,14:00:00,TH-Suporte,24.3,14
28/10/2021,15:00:00,TH-Suporte,24.1,15
28/10/2021,16:00:00,TH-Suporte,23.5,16
28/10/2021,17:00:00,TH-Suporte,23.3,17
28/10/2021,18:00:00,TH-Suporte,25.1,18
28/10/2021,19:00:00,TH-Suporte,26.0,19
28/10/2021,20:00:00,TH-Suporte,26.0,20
29/10/2021,08:03:39,TH-Suporte,26.0,08
29/10/2021,09:00:00,TH-Suporte,25.5,09
29/10/2021,10:00:00,TH-Suporte,25.5,10
29/10/2021,11:00:00,TH-Suporte,25.3,11
29/10/2021,12:00:00,TH-Suporte,24.7,12
29/10/2021,13:00:00,TH-Suporte,24.9,13
29/10/2021,14:00:00,TH-Suporte,24.3,14
29/10/2021,15:00:00,TH-Suporte,24.3,15
29/10/2021,16:00:00,TH-Suporte,24.3,16
29/10/2021,17:00:00,TH-Suporte,24.1,17
29/10/2021,18:00:00,TH-Suporte,22.9,18
29/10/2021,19:00:00,TH-Suporte,24.8,19
29/10/2021,20:00:00,TH-Suporte,26.0,20